number,title,description,emails
147,Алкогольная Сибирская группа,Один из крупнейших в мире производителей алкогольной продукции.,"['personalASG@asg.ru', 'quality@asg.ru', 'asghotline@deloitte.ru', 'personal@asg.ru', 'jane.doe@asg.ru', 'quality@ovp.ru']"
148,Издательская группа «АСТ»,основана в 1990 году и является одним из крупнейших издательств Российской Федерации,"['v.krylova@ast.ru', 'zakaz@ast.ru', 'opt@ast.ru', 'hr@ast.ru', 'a.yahina@ast.ru', 'info@eksmo.ru', 'ask@ast.ru', 'biblotdel@ast.ru', 'samizdat@ast.ru']"
149,GN Interpartners,Компания создана в 1995 году и занимается созданием и развитием международных брендов,['info@emcg.com']
150,Platinum Financial Services,Поставщик финансовых услуг,"['info@fsplatinum.com', 'awilson@platinumfsllc.com', 'enquiries@platinumfs.co.uk.Platinum', 'info@platinumfinancial.co.zm']"
151,Ligerion Group,Международная юридическая компания,"['mail@ligerion.com', 'anastasia.golovina@gmail.com', 'andrey.polevoy@gmail.com', 'capital@ligerion.com']"
152,ЗАО «Компания ИФ-Сервис»,Лидер на рынке внутренних инженерных систем. Компания основана 24 мая 1992 года,"['r.yunisov@vipservice.ru', 'nosik@if-service.ru', 'consult@if-service.ru', 'none@if-service.ru']"
153,ООО «ЭйДжиСи Индастрис»,Компания входит в интернациональную группу AGС и является ведущим производителем огнеупорных материалов,"['n.tikhonova@agcarbon.com', 'officemos@agcarbon.com', 'lawyer@agcarbon.com', 'e.khomich@agcarbon.com']"
154,Mobis Parts CIS,"Один из крупнейших мировых производителей и поставщиков оригинальных запчастей, модулей и аксессуаров для автомобилей Hyundai и KIA","['kalnova@mpcis.ru', '9407432@gmail.com', 'info@mobis-russia.com', 'senthilrajkumar@gmobis.com']"
155,ООО «Аспен Хэлс»,Фармацевтическая компания,"['nataliya.nikiforova@aspenpharma.eu', 'alina.konoreva@aspenpharma.eu', 'ruinfo@aspenpharma.com', 'safety@smoothdd.com']"
156,Триколор ТВ,"Один из крупнейших российских операторов спутникового телевидения, осуществляет деятельность с 2005 года","['support@tricolor.tv', 'horeca@tricolor.ru', 'info@tricolor-mos.tv', 'horeca@tricolor.tv', 'info@tricolortv-pay.ru', 'zakaz@tricolor-mos.ru']"
157,L`Occitane en Provence,SPA-салон,"['Daria.Burdina@sobeautiful.ru', 'Janna.Izvekova@sobeautiful.ru', 'jane.doe@loccitane.com', 'john@loccitane.com', 'jdoe@loccitane.com']"
158,L`Occitane en Provence,сеть бутиков косметики,"['Daria.Burdina@sobeautiful.ru', 'Janna.Izvekova@sobeautiful.ru', 'jane.doe@loccitane.com', 'john@loccitane.com', 'jdoe@loccitane.com']"
159,Swatch,сеть салонов часов,"['jane.doe@swatchgroup.com', 'customerservice@swatch.com', 'connect@swatch.sg', 'connect@swatch.us', 'swatchonline@tregergroup.co.za.Formulaire', 'connect@swatch.co.uk.Swatch']"
160,TUI,сеть туристических компаний,"['tui@airlineluggageclaims.com', 'CabinCrewCareers@tuifly.com', 'jane.doe@tui.com', 'info@tui.com', 'careers@tui.be', 'hr@tuicruises.com', 'nhsadmin@tui.co.uk.Contact', 'recruiting@tui.com']"
161,Ваби Саби,сеть японских кафе,"['info@vabisabi.ru', 'info@mymoscowcity.com', 'pecherina127@gmail.com']"
162,КРЕДИТ ЕВРОПА БАНК,,"['retail.marketing@crediteurope.ru', 'pressoffice@crediteurope.ru', 'customer_care@crediteurope.ru', 'fi@crediteurope.ru']"
163,Республика,сеть книжно-канцелярских магазинов,"['uop.mb@sberbank.ru', 'store@respublica-pro.ru', 'post@sprt.ru']"
164,Apple-service,сервисный центр,['product-security@apple.com']
165,Da Vinci Capital,инвестиционный фонд,"['jane.doe@dvcap.com', 'info@dvcap.com']"
166,Fleur Delice,салон цветов,"['fleurdelice@list.ru', 'Tkani-mira@mail.ru', 'info@elloi.ru']"
167,Mary Chocolatier,бутик сладостей,"['inquiries@maryqa.com', 'export@mary.be']"
168,PAUL,сеть французских кафе-пекарен,"['press_paul@paul.senate.gov', 'paul@gmail.com']"
169,Starbucks,сеть кофеен,"['jdoe@starbucks.com', 'USxxxxxxx@starbucks.com', 'investorrelations@starbucks.com.Contact', 'info@starbucks.com', 'JSmith@starbucks.com']"
170,Vip Букет,сеть флористических салонов,"['info@megacvet24.ru', 'kupit.tsvety@yandex.ru', 'zakaz@buketik66.ru', 'msk@venusinfleurs.ru', 'vip.cvetochka@bk.ru']"
171,Винарио,винный бутик,"['info@vinario.legal', 'MKINOYAN@MAI.RU', 'info.codigovinario@gmail.com', 'akbars.trans@gmail.com', 'info@vinariozgz.com']"
172,Культ сигар,магазин сигар,"['corp@zoon.ru', 'order@cigar-cult.ru', 'NFT@CIGAR-CULT.RU']"
173,Платежный терминал,Московский банк Сбербанка России,['sale@avtomaty.ru']
174,Платежный терминал,ОАО,['sale@avtomaty.ru']
175,Почтовое отделение №123317,,"['dgkb9@zdrav.mos.ru', '9644411@mail.ru']"
